Code,Name,Type,Currency,Isin
FHG-F,FT AlphaDEX U.S. Industrials Sector Index ETF Hedged,ETF,CAD,
FHM,First Trust NYSE Arca Biotechnology ETF,ETF,CAD,CA33732P1009
FHU,First Trust AlphaDEX U.S. Utilities Sector Index ETF,ETF,CAD,CA33732M1077
FHY,FT Short Duration High Yield Bd Comm,ETF,CAD,
FI,Fiserv CDR (CAD Hedged),Common Stock,CAD,
FIE-A,iShares Canadian Financial Monthly Income ETF,ETF,CAD,
FIG-U,CI Investment Grade Bond ETF,ETF,USD,CA12556J2002
FIL,Filo Mining Corp,Common Stock,CAD,CA31730E1016
FINE,Forstrong Global Ex-North America Equity ETF,ETF,CAD,
FIRE,The Supreme Cannabis Company Inc,Common Stock,CAD,CA86860J1066
FIVE,Evolve S&P 500 CleanBeta Fund,ETF,CAD,
FLAM,Franklin FTSE U.S. Index ETF,ETF,CAD,CA3535101008
FLB,CI First Asset Long Duration Fixed Income ETF,ETF,CAD,CA17162G1028
FLBA,Franklin Liberty Core Balanced ETF,ETF,CAD,CA35376K1075
FLCD,Franklin FTSE Canada All Cap Index ETF,ETF,CAD,CA35351E1007
FLDM,Franklin LibertyQT International Equity Index ETF,ETF,CAD,CA3537711085
FLEM,Franklin LibertyQT Emerging Markets Index ETF,ETF,CAD,CA35376C1059
FLGD,Franklin Global Dividend Quality Index ETF,ETF,CAD,CA35376A1093
FLJA,Franklin FTSE Japan Index ETF,ETF,CAD,CA35351A1084
FLOT,Purpose Floating Rate Income Fund,ETF,CAD,CA74642Q1019
FLOT-B,Purpose Floating Rate Income Fund - ETF Non-currency hedged CAD,ETF,CAD,
FLOT-U,Purpose Floating Rate Income Fund,ETF,USD,CA74642Q2009
FLOW,Flow Beverage Corp,Common Stock,CAD,CA34344J1021
FLRM,Franklin Liberty Risk Managed Canadian Equity ETF,ETF,CAD,CA3537691022
FLSL,Franklin Liberty Senior Loan ETF (CAD-Hedged),ETF,CAD,CA35376R1029
FLUI,Franklin Liberty U.S. Investment Grade Corporate ETF (CAD-Hedged),ETF,CAD,CA3537701003
FLUR,Franklin FTSE Europe ex U.K. Index ETF,ETF,CAD,CA35351C1041
FMC,Buffalo Coal Corp,Common Stock,CAD,
FN,First National Financial Corp,Common Stock,CAD,CA33564P1036
FN-PA,First National Financial Corp Pref A,Preferred Stock,CAD,CA33564P2026
FN-PB,First National Financial Corp Pref B,Preferred Stock,CAD,CA33564P3016
FOM,Foran Mining Corporation,Common Stock,CAD,
FORZ,Forza Petroleum Ltd,Common Stock,CAD,CA34987V1076
FOUR,Global X Industry 4.0 Index ETF,ETF,CAD,CA44054V1040
FQC,CI MSCI Canada Quality Index Class ETF,ETF,CAD,CA17163X3022
FR,First Majestic Silver Corp,Common Stock,CAD,CA32076V1031
FRB,Forbes Energy Services Ltd (FRB.TO,Common Stock,CAD,
FRII,Freshii Inc,Common Stock,CAD,CA35805P1071
FRL-UN,Crescent Senior Secured Floating Rate Loan Fund LLC,Common Stock,CAD,
FRU-R,FRU-R,Common Stock,CAD,
FSD,First Trust Short Duration High Yield Bond ETF (CADHedged) Common,ETF,CAD,
FSEM,Franklin Martin Currie Sustainable Emerging Markets Active ETF,ETF,CAD,CA35384E1016
FSL-A,First Trust Senior Loan ETF (CAD-Hedged),ETF,CAD,
FSR,First Trust Morningstar Dividend Leaders ETF (CAD-Hedged),ETF,CAD,CA33740G1000
FST-A,First Trust Canadian Capital Strength ETF,ETF,CAD,
FTB,First Trust Tactical Bond Index ETF,ETF,CAD,CA33739D1006
FTP,Fortress Paper Ltd,Common Stock,CAD,
FTP-DBA,FORTRESS PAPER LTD 7 PCT DEBS,FUND,CAD,
FTRP,Field Trip Health Ltd,Common Stock,CAD,CA31656R1029
FTS-PR-M,Fortis Inc. Cumulative Redeemable Fixed Rate Reset First Preference Shares Series,Preferred Stock,CAD,
FUD-A,First Trust Value Line Dividend Index ETF (CAD-Hedged),ETF,CAD,
FUM,First Asset U.S. Equity Multi-Factor Index ETF,ETF,CAD,
FUT,CI First Asset U.S. Tactical Sector Allocation Index ETF,ETF,CAD,CA17163M1086
FWCP,Franklin Western Asset Core Plus Bond Fund ETF,ETF,CAD,CA35519L1031
FXC,Fax Capital Corp,Common Stock,CAD,CA31210A3064
FXF,FXF,ETF,CAD,
G,Augusta Gold Corp,Common Stock,CAD,
G_old,Goldcorp Inc,Common Stock,CAD,CA3809564097
GAS,Canadian Natural Gas ETF,ETF,CAD,
GATO,Gatos Silver Inc,Common Stock,CAD,US3680361090
GBAR,Monarch Mining Corp,Common Stock,CAD,CA6091611047
GBF,Globalance Dividend Growers,Common Stock,CAD,
GBU,Gabriel Resources Ltd,Common Stock,CAD,
GC,Great Canadian Gaming Corporation,Common Stock,CAD,CA3899141020
GCG,Guardian Capital Group Limited,Common Stock,CAD,CA4013392051
GCG-A,Guardian Capital Group Ltd. Cl.A Nv (GCG-A.TO,Common Stock,CAD,CA4013393042
GCL,Colabor Group Inc.,Common Stock,CAD,CA1926671035
GCL-DBA,COLABOR GROUP INC 5.70 CONV DEB,FUND,CAD,
GCM,GCM Mining Corp,Common Stock,CAD,CA36168L1058
GCT,GVIC Communications Corp,Common Stock,CAD,CA4036411037
GCT-C,GVIC Communications Corp,Common Stock,CAD,
GDEP,Guardian Directed Equity Path Portfolio Hedge ETF Units,ETF,CAD,CA40090B1022
GDG-UN,Global Dividend Growers Income Fund,ETF,CAD,
GDI,GDI Integrated,Common Stock,CAD,CA3615692058
GDPY,Guardian Directed Premium Yield Portfolio Hedge ETF Units,ETF,CAD,CA40138D1024
GDS,Gendis Inc,Common Stock,CAD,
GEC-UN,Global Real Estate & E-Commerce Dividend Fund,ETF,CAD,
GEN,StageZero Life Sciences Ltd,Common Stock,CAD,
GGA,Goldgroup Mining Inc.,Common Stock,CAD,CA38141A1075
GGAC,Guardian Fundamental All Country Equity ETF,ETF,CAD,CA40136X1006
GGEM,Guardian Fundamental Emerging Markets Equity ETF,ETF,CAD,CA40090D1087
GGM,Granada Gold Mine Inc,Common Stock,CAD,
GGNDF,GN Store Nord A/S,Common Stock,CAD,
GH,Gamehost Inc.,Common Stock,CAD,CA36468B1040
